# Bayo et al, M types from Collinder 69	
# spty = M7.0  (Spectral type)	
#	
wavelength	flux
#     (ANGSTROM)	#    (ERG/CM2/S/A)
7658.523283	1.394808E-17
7660.388912	1.175341E-17
7662.254541	1.25172E-17
7664.12017	1.465486E-17
7665.985799	1.707418E-17
7667.851428	1.657192E-17
7669.717057	1.577638E-17
7671.582685	1.813503E-17
7673.448314	1.735659E-17
7675.313943	1.954193E-17
7677.179572	1.991954E-17
7679.045201	1.769856E-17
7680.91083	1.73186E-17
7682.776459	2.010437E-17
7684.642088	2.09088E-17
7686.507717	2.041437E-17
7688.373346	1.945853E-17
7690.238975	1.487668E-17
7692.104604	1.418228E-17
7693.970233	1.397152E-17
7695.835862	1.732087E-17
7697.701491	1.79133E-17
7699.56712	1.950251E-17
7701.432749	1.836193E-17
7703.298378	1.825131E-17
7705.164007	2.018238E-17
7707.029636	1.732382E-17
7708.895265	1.864463E-17
7710.760894	2.208142E-17
7712.626523	2.349533E-17
7714.492152	2.504118E-17
7716.357781	2.624275E-17
7718.22341	2.602044E-17
7720.089039	2.59726E-17
7721.954668	2.655822E-17
7723.820297	2.587495E-17
7725.685926	2.8173E-17
7727.551555	3.008487E-17
7729.417184	3.060528E-17
7731.282812	3.006438E-17
7733.148441	3.164577E-17
7735.01407	2.989917E-17
7736.879699	2.681358E-17
7738.745328	2.488241E-17
7740.610957	2.29724E-17
7742.476586	1.960704E-17
7744.342215	1.867904E-17
7746.207844	2.151514E-17
7748.073473	2.028318E-17
7749.939102	2.088943E-17
7751.804731	2.500342E-17
7753.67036	2.476239E-17
7755.535989	2.407752E-17
7757.401618	2.399392E-17
7759.267247	2.258552E-17
7761.132876	2.245533E-17
7762.998505	2.483216E-17
7764.864134	2.512792E-17
7766.729763	2.92583E-17
7768.595392	2.41959E-17
7770.461021	2.491461E-17
7772.32665	2.692695E-17
7774.192279	2.595304E-17
7776.057908	2.169097E-17
7777.923537	2.215742E-17
7779.789166	2.25835E-17
7781.654795	2.631444E-17
7783.520424	2.461449E-17
7785.386053	2.463195E-17
7787.251682	2.600823E-17
7789.11731	2.654563E-17
7790.982939	2.487988E-17
7792.848568	2.419888E-17
7794.714197	2.534305E-17
7796.579826	2.867239E-17
7798.445455	3.061155E-17
7800.311084	2.929684E-17
7802.176713	2.618357E-17
7804.042342	2.901597E-17
7805.907971	3.263436E-17
7807.7736	3.280133E-17
7809.639229	3.28479E-17
7811.504858	3.62818E-17
7813.370487	3.338321E-17
7815.236116	3.084875E-17
7817.101745	3.136898E-17
7818.967374	2.926862E-17
7820.833003	2.603789E-17
7822.698632	2.550982E-17
7824.564261	2.595295E-17
7826.42989	2.414647E-17
7828.295519	2.203458E-17
7830.161148	2.60186E-17
7832.026777	2.858447E-17
7833.892406	2.859209E-17
7835.758035	2.919431E-17
7837.623664	2.98753E-17
7839.489293	2.950566E-17
7841.354922	3.057041E-17
7843.220551	3.072837E-17
7845.08618	2.779152E-17
7846.951808	2.646423E-17
7848.817437	2.790271E-17
7850.683066	3.202748E-17
7852.548695	3.329778E-17
7854.414324	3.183684E-17
7856.279953	2.781688E-17
7858.145582	2.654044E-17
7860.011211	2.944884E-17
7861.87684	3.128522E-17
7863.742469	3.129873E-17
7865.608098	2.88016E-17
7867.473727	3.034323E-17
7869.339356	2.905575E-17
7871.204985	3.041629E-17
7873.070614	3.023757E-17
7874.936243	3.052354E-17
7876.801872	2.928793E-17
7878.667501	3.373146E-17
7880.53313	3.476231E-17
7882.398759	3.116814E-17
7884.264388	3.22903E-17
7886.130017	3.509925E-17
7887.995646	3.324055E-17
7889.861275	3.166726E-17
7891.726904	3.132523E-17
7893.592533	2.967459E-17
7895.458162	2.879701E-17
7897.323791	3.026146E-17
7899.18942	3.447884E-17
7901.055049	3.163402E-17
7902.920678	2.533724E-17
7904.786306	2.934292E-17
7906.651935	2.796445E-17
7908.517564	2.944533E-17
7910.383193	2.86908E-17
7912.248822	2.750776E-17
7914.114451	2.91547E-17
7915.98008	2.745807E-17
7917.845709	2.805285E-17
7919.711338	3.010048E-17
7921.576967	3.061172E-17
7923.442596	3.287764E-17
7925.308225	3.195917E-17
7927.173854	3.201487E-17
7929.039483	3.208024E-17
7930.905112	3.419292E-17
7932.770741	3.227259E-17
7934.63637	3.050491E-17
7936.501999	2.903964E-17
7938.367628	3.094255E-17
7940.233257	3.200269E-17
7942.098886	2.929606E-17
7943.964515	2.952283E-17
7945.830144	3.185904E-17
7947.695773	3.422486E-17
7949.561402	3.741645E-17
7951.427031	3.756712E-17
7953.29266	3.475259E-17
7955.158289	3.394496E-17
7957.023918	3.5087E-17
7958.889547	3.861929E-17
7960.755176	3.543915E-17
7962.620804	3.566168E-17
7964.486433	3.778941E-17
7966.352062	3.666002E-17
7968.217691	3.31839E-17
7970.08332	3.267159E-17
7971.948949	3.095919E-17
7973.814578	3.022137E-17
7975.680207	3.09293E-17
7977.545836	2.969523E-17
7979.411465	3.164095E-17
7981.277094	3.369816E-17
7983.142723	3.366088E-17
7985.008352	3.364387E-17
7986.873981	3.369247E-17
7988.73961	3.715668E-17
7990.605239	3.830843E-17
7992.470868	3.501214E-17
7994.336497	3.415017E-17
7996.202126	3.452846E-17
7998.067755	3.610479E-17
7999.933384	3.750215E-17
8001.799013	3.812254E-17
8003.664642	4.307765E-17
8005.530271	4.405404E-17
8007.3959	3.975221E-17
8009.261529	3.905215E-17
8011.127158	4.131099E-17
8012.992787	4.029009E-17
8014.858416	3.958501E-17
